Geo,                                Canal,                 Youtuber,        URL do canal,          Twitter do canal, Twitter pessoal
Fortitude Valley - QLD - Australia, Reza a Lenda,          Lucas Caton,     https://goo.gl/wKzYeV, @reza_a_lenda,    @lucascaton
Melbourne - VIC - Australia,        Let's Go F치bio,        F치bio Hanashiro, https://goo.gl/ec414N, ,                 @fabiohanashiro
Melbourne - VIC - Australia,        Rafa Channel 3000,     Rafael Silva,    https://goo.gl/I9I3Yl, @RafaChannel3001,
Gold Coast - QLD - Australia,       Se joga - cara!,       Cadu Cassau,     https://goo.gl/hboSjB, @sejogacara,
Sydney - NSW - Australia,           Brazil Austr치lia,      Jerry Strazzeri, https://goo.gl/ok84Eg, @brazilaustralia,
Sydney - NSW - Australia,           EMVB,                  Emerson Martins, https://goo.gl/YEj5sR, ,                 @emersoncmartins
Brisbane - QLD - Australia,         Deoti Na Austr치lia,    Thiago Deoti,    https://goo.gl/iWMvzx, ,                 @deoteras2,
Brisbane - QLD - Australia,         Vida-Dura Australiana, Rafael Guenna,   https://goo.gl/9AFz7Q, ,
Brisbane - QLD - Australia,         Hello Australia TV,    ,                https://goo.gl/xk3nwY, @hello_australia,
Sydney - NSW - Australia,           Braussieleiro TV,      Raphael Pires,   https://goo.gl/p1XOji, @braussieleiro,
